snow-drift	snowdrift, snow drift
black-letter	blackletter, black-letter
drift-ice	drift ice
drift-net	drift net
arm-chair	armchair
air-gun	air gun, air-gun
air-hostess	air hostess
air-tight	airtight, air-tight
apron-strings	apron strings, apron-strings
after-grass	aftergrass, after-grass
acid-proof	acidproof, acid-proof
above-ground	aboveground, above-ground
air-brush	airbrush, air-brush
ant-eater	anteater, ant-eater
alms-house	almshouse, alms-house
amour-propre	amour propre, amour-propre
ale-house	alehouse, ale-house
anti-knock	antiknock, anti-knock
anti-tank	antitank, anti-tank
after-life	afterlife, after-life
address-book	address book, address-book
air-duct	air duct, air-duct
air-pump	air pump, air-pump
air-raid	air raid, air-raid
